target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,advanced,Corporate,22849,0,1,1,1.1833781362,33.725226439,4.8265963021,0,0,10.155363425,450
0,OTHER,elementary,Corporate,154782,0,1,1,0.5934363799,35.172685081,2.8850138483,,,9.1178905607,453
0,2NDFL,advanced,,30501,0,0,0,14.593996416,33.359278389,12.948319485,0,0,10.364757841,457
0,OTHER,advanced,Corporate,19960,0,1,0,,54.60894528,1.4610000749,,,6.4527808968,470
0,OTHER,high,Corporate,39126,0,1,0,4.9887544803,38.941118347,10.009611498,0,0,11.540983607,474
0,OTHER,beginner,,19000,0,0,,,31.912568306,7.0642188787,,,9.6779175088,478
0,2NDFL,advanced,,55301,0,0,0,,52.079234973,6.3736432368,0,0,6.9188487162,480
0,OTHER,elementary,Corporate,187238,0,1,,,31.868493151,4.6760236545,,,11.8,482
0,2NDFL,elementary,,35094,0,0,0,2.1877464158,53.537076128,0.718579235,1,1,8.393442623,487
0,2NDFL,elementary,,59260,0,0,1,1.1851030466,37.379474512,2.4918032787,0,1,11.846994536,495
0,OTHER,elementary,,100000,0,0,0,0.9568324373,32.841821993,4.9020959653,1,1,11.288397335,496
0,OTHER,elementary,Corporate,39932,0,1,0,4.4444444444,26.693150685,3.2273972603,0,0,1.8931506849,501
0,OTHER,elementary,,45000,0,0,1,0.3455869176,29.911325698,7.1798188487,0,0,6.705846246,504
0,OTHER,elementary,Corporate,42184,0,1,0,0.863015233,27.023856576,2.2074182199,0,0,6.8430346583,514
0,OTHER,elementary,Corporate,95089,0,1,0,,38.393517479,7.6994535519,0,1,9.5907777528,519
0,OTHER,elementary,Corporate,167916,0,1,1,0.4400537634,31.628415301,1.3244928513,0,0,9.9628490156,528
0,OTHER,elementary,Corporate,167916,0,1,1,0.4400537634,31.628415301,1.3244928513,0,0,9.9628490156,530
0,2NDFL,advanced,,38602,0,0,0,0.5439964158,36.9707014,6.9232876712,1,1,11.884931507,532
0,OTHER,elementary,Corporate,21982,0,1,0,4.6659722222,43.219267909,0.6721311475,0,0,3.7343364024,537
0,OTHER,advanced,Corporate,20428,0,1,0,,39.320937196,0.693989071,0,0,11.260663223,546
0,OTHER,beginner,Corporate,94128,0,1,0,2.1183691756,36.97311176,3.8739726027,1,1,13.668493151,548
0,OTHER,elementary,Corporate,65911,0,1,1,0.7609767025,36.978808294,2.0692192529,1,1,9.4473014447,550
0,OTHER,elementary,Corporate,74547,0,1,0,0.378203405,42.487671233,1.6082865484,1,1,12.197260274,556
0,OTHER,elementary,Corporate,99909,0,1,1,1.1501120072,35.127764054,2.0291339172,0,0,6.2757092597,560
0,OTHER,advanced,Corporate,35082,0,1,0,19.956025986,25.872812336,0.4700726102,0,0,5.7084287746,561
0,OTHER,high,Corporate,39344,0,1,,,26.64109589,9.0359532899,,,6.2438356164,562
0,OTHER,advanced,Corporate,26806,0,1,,,28.407410734,0.6150610076,,,4.5003069092,569
0,OTHER,advanced,Corporate,28297,0,1,0,15.467921147,31.263013699,4.2876712329,1,1,10.18630137,570
0,OTHER,elementary,Corporate,54193,0,1,,,37.292349727,6.4896100007,,,13.108788083,579
0,OTHER,elementary,,35000,0,0,1,0.8882616487,40.197260274,8.6101354892,0,0,10.438356164,581
0,OTHER,advanced,,26282,0,0,0,1.6927643369,39.718579235,6.8750056142,,,10.151717943,589
0,OTHER,elementary,,25000,0,0,0,0.4112455197,32.538251366,6.7125757916,1,1,8.9865483943,590
0,OTHER,elementary,Corporate,89354,0,1,,,42.717808219,2.3342465753,,,5.6849315068,598
0,2NDFL,elementary,,129765,0,0,0,16.638799283,28.505464481,9.3293285426,0,0,5.1156299124,602
0,2NDFL,elementary,,116433,0,0,1,1.1463933692,29.928332959,3.4098360656,1,1,9.3831274796,609
0,OTHER,elementary,Corporate,119970,0,1,,,37.736986301,0.7551613145,,,2.5095890411,611
0,2NDFL,elementary,,109921,0,0,0,17.800179211,33.809259675,0.3415300546,0,0,10.705150086,620
0,OTHER,elementary,,60000,0,0,0,43.273364695,29.845220451,1.2479601767,0,0,9.0096040123,621
0,OTHER,advanced,Corporate,102312,0,1,0,,33.00303915,1.2630136986,0,0,11.106849315,622
0,OTHER,elementary,,120000,0,0,0,3.2747311828,44.292349727,14.127232577,0,0,11.453259975,623
0,2NDFL,elementary,,41217,0,0,1,0.4991263441,39.145205479,7.002739726,1,1,9.165528857,633
0,2NDFL,advanced,,50687,0,0,1,1.0808915771,33.072400629,7.0849315068,1,1,0.6871547272,644
0,2NDFL,advanced,,50687,0,0,1,1.0808915771,33.072400629,7.0849315068,1,1,0.6871547272,645
0,2NDFL,elementary,,,0,1,2,0.5009184588,27.114424732,1.5116850064,0,0,3.9590163934,651
0,OTHER,high,Corporate,54138,0,1,0,10.606003584,26.780582379,0.5038700502,1,1,6.4655138858,655
0,2NDFL,advanced,,19245,0,0,,,39.791780822,5.8109589041,,,11.120547945,658
0,2NDFL,advanced,,37248,0,0,0,,40.683224792,8.2049180328,0,0,8.853087806,660
0,OTHER,elementary,Corporate,73524,0,1,1,2.1149641577,31.379781421,4.4212740475,0,0,5.8267534995,663
0,OTHER,elementary,Corporate,73524,0,1,1,2.1149641577,31.379781421,4.4212740475,0,0,5.8267534995,664
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,672
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,674
0,OTHER,elementary,Corporate,98369,0,1,1,1.0526433692,33.346597799,1.1356388951,1,1,5.527419717,679
0,2NDFL,elementary,,29698,0,0,0,11.92296147,49.823654465,9.7852983008,0,0,4.7469421364,687
0,OTHER,advanced,,40000,0,0,0,3.4339829749,29.917164458,1.5226439105,0,0,7.4945355191,690
